timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
08:03:32,0,0,0.0,122.422,1,122.422,10.7,real_measurement
08:03:37,0,27,0.0,124.101,1,124.101,8.5,real_measurement
08:03:42,0,53,0.0,124.388,1,124.388,15.6,real_measurement
08:03:54,0,175,0.0,128.035,1,128.035,10.6,real_measurement
08:04:03,0,244,0.0,122.628,1,122.628,10.8,real_measurement
08:04:08,0,378,75.0,431.238,1,431.238,13.6,real_measurement
08:04:13,0,524,70.0,419.941,1,419.941,11.3,real_measurement
08:04:20,0,600,0.0,122.805,1,122.805,6.6,real_measurement
08:04:25,0,747,71.0,439.236,1,439.236,18.9,real_measurement
08:04:31,0,869,70.0,420.005,1,420.005,7.6,real_measurement
08:04:36,0,1019,81.0,450.619,1,450.619,11.1,real_measurement
08:04:41,0,1154,64.0,395.84,1,395.84,12.7,real_measurement
08:04:46,0,1253,67.0,400.312,1,400.312,14.2,real_measurement
08:04:51,0,1402,79.0,446.608,1,446.608,12.2,real_measurement
08:04:56,0,1545,74.0,417.227,1,417.227,12.7,real_measurement
08:05:01,0,1690,72.0,425.295,1,425.295,10.4,real_measurement
08:05:06,0,1834,70.0,413.326,1,413.326,13.9,real_measurement
08:05:11,0,1984,79.0,451.879,1,451.879,9.1,real_measurement
08:05:16,0,2128,71.0,416.154,1,416.154,11.7,real_measurement
08:05:21,0,2272,74.0,416.758,1,416.758,14.5,real_measurement
08:05:26,0,2417,70.0,425.795,1,425.795,12.3,real_measurement
08:05:31,0,2562,74.0,420.07,1,420.07,13.9,real_measurement
08:05:36,0,2708,74.0,418.195,1,418.195,10.0,real_measurement
08:05:41,0,2858,77.0,446.983,1,446.983,7.9,real_measurement
08:05:46,0,3016,79.0,448.626,1,448.626,6.3,real_measurement
08:05:51,0,3156,68.0,404.858,1,404.858,17.6,real_measurement
08:05:56,0,3300,69.0,419.312,1,419.312,9.6,real_measurement
08:06:01,0,3444,74.0,417.98,1,417.98,17.1,real_measurement
08:06:06,0,3600,79.0,446.652,1,446.652,11.5,real_measurement
08:06:11,0,3750,69.0,399.703,1,399.703,13.8,real_measurement
08:06:16,0,3888,72.0,418.615,1,418.615,15.5,real_measurement
08:06:21,0,4033,74.0,420.371,1,420.371,12.2,real_measurement
08:06:26,0,4176,72.0,416.512,1,416.512,14.3,real_measurement
08:06:31,0,4322,71.0,426.252,1,426.252,9.5,real_measurement
08:06:36,0,4478,74.0,429.073,1,429.073,8.3,real_measurement
08:06:41,0,4618,70.0,413.308,1,413.308,18.1,real_measurement
08:06:46,0,4764,73.0,422.16,1,422.16,10.7,real_measurement
08:06:51,0,4909,71.0,421.999,1,421.999,10.6,real_measurement
08:06:56,0,5055,74.0,420.192,1,420.192,6.9,real_measurement
08:07:01,0,5200,71.0,425.315,1,425.315,14.6,real_measurement
08:07:06,0,5344,72.0,415.785,1,415.785,15.7,real_measurement
08:07:11,0,5495,71.0,431.511,1,431.511,8.8,real_measurement
08:07:16,0,5639,72.0,421.303,1,421.303,9.9,real_measurement
08:07:21,0,5792,78.0,446.227,1,446.227,14.9,real_measurement
08:07:26,0,5947,65.0,413.428,1,413.428,10.2,real_measurement
08:07:31,0,6083,70.0,407.678,1,407.678,14.9,real_measurement
08:07:36,0,6228,68.0,418.784,1,418.784,11.3,real_measurement
08:07:41,0,6373,71.0,420.374,1,420.374,10.5,real_measurement
08:07:46,0,6519,71.0,417.965,1,417.965,11.8,real_measurement
08:07:51,0,6665,74.0,424.836,1,424.836,13.9,real_measurement
08:07:56,0,6811,74.0,416.971,1,416.971,7.6,real_measurement
08:08:01,0,6957,73.0,421.116,1,421.116,11.9,real_measurement
08:08:06,0,7102,69.0,415.153,1,415.153,9.8,real_measurement
08:08:11,0,7246,71.0,420.628,1,420.628,15.2,real_measurement
08:08:16,0,7390,72.0,420.096,1,420.096,13.3,real_measurement
08:08:21,0,7535,71.0,422.775,1,422.775,12.0,real_measurement
08:08:26,0,7679,67.0,419.589,1,419.589,13.3,real_measurement
08:08:31,0,7824,71.0,421.054,1,421.054,11.4,real_measurement
08:08:36,0,7969,66.0,422.574,1,422.574,8.5,real_measurement
08:08:41,0,8114,72.0,422.52,1,422.52,15.0,real_measurement
08:08:46,0,8259,68.0,421.2,1,421.2,12.2,real_measurement
08:08:51,0,8404,71.0,423.793,1,423.793,11.6,real_measurement
08:08:56,0,8550,73.0,424.02,1,424.02,8.4,real_measurement
08:09:01,0,8695,72.0,423.375,1,423.375,14.9,real_measurement
08:09:06,0,8849,81.0,447.843,1,447.843,7.0,real_measurement
08:09:11,0,8993,73.0,414.135,1,414.135,12.2,real_measurement
08:09:16,0,9139,74.0,422.575,1,422.575,8.5,real_measurement
08:09:22,0,9284,74.0,427.596,1,427.596,16.4,real_measurement
08:09:27,0,9429,71.0,419.127,1,419.127,13.7,real_measurement
08:09:32,0,9574,70.0,421.965,1,421.965,12.5,real_measurement
08:09:37,0,9722,63.0,400.505,1,400.505,12.5,real_measurement
08:09:42,0,9867,72.0,419.193,1,419.193,12.4,real_measurement
08:09:47,0,10012,72.0,416.582,1,416.582,10.7,real_measurement
08:09:52,0,10157,72.0,421.7,1,421.7,14.8,real_measurement
08:09:57,0,10303,70.0,420.735,1,420.735,9.7,real_measurement
08:10:02,0,10447,74.0,425.544,1,425.544,15.5,real_measurement
08:10:07,0,10591,74.0,416.282,1,416.282,16.3,real_measurement
08:10:12,0,10736,73.0,422.082,1,422.082,11.6,real_measurement
08:10:17,0,10881,72.0,415.395,1,415.395,8.6,real_measurement
08:10:22,0,11026,74.0,419.564,1,419.564,6.6,real_measurement
08:10:27,0,11171,73.0,417.012,1,417.012,13.9,real_measurement
08:10:32,0,11317,73.0,430.192,1,430.192,14.8,real_measurement
08:10:37,0,11463,72.0,423.117,1,423.117,7.6,real_measurement
08:10:42,0,11607,70.0,415.503,1,415.503,15.1,real_measurement
08:10:47,0,11752,70.0,417.631,1,417.631,12.5,real_measurement
08:10:52,0,11896,74.0,416.528,1,416.528,13.6,real_measurement
08:10:57,0,12041,72.0,418.82,1,418.82,13.3,real_measurement
08:11:02,0,12186,71.0,419.31,1,419.31,15.2,real_measurement
08:11:07,0,12330,72.0,416.664,1,416.664,11.1,real_measurement
08:11:12,0,12476,73.0,427.362,1,427.362,11.5,real_measurement
08:11:17,0,12622,71.0,419.333,1,419.333,10.3,real_measurement
08:11:22,0,12767,71.0,422.218,1,422.218,15.0,real_measurement
08:11:27,0,12912,72.0,421.699,1,421.699,9.7,real_measurement
08:11:32,0,13058,74.0,425.478,1,425.478,7.2,real_measurement
08:11:37,0,13202,74.0,422.1,1,422.1,17.1,real_measurement
08:11:42,0,13347,72.0,419.464,1,419.464,13.0,real_measurement
08:11:47,0,13492,74.0,418.033,1,418.033,12.5,real_measurement
08:11:52,0,13637,71.0,420.701,1,420.701,11.6,real_measurement
08:11:57,0,13783,74.0,421.635,1,421.635,7.4,real_measurement
08:12:02,0,13929,73.0,422.586,1,422.586,13.0,real_measurement
08:12:07,0,14075,74.0,421.983,1,421.983,6.8,real_measurement
08:12:12,0,14220,74.0,418.743,1,418.743,6.8,real_measurement
08:12:17,0,14366,73.0,424.285,1,424.285,6.8,real_measurement
08:12:22,0,14512,73.0,425.12,1,425.12,6.1,real_measurement
08:12:27,0,14658,74.0,418.126,1,418.126,9.1,real_measurement
08:12:32,0,14804,70.0,425.22,1,425.22,6.7,real_measurement
08:12:37,0,14950,72.0,422.677,1,422.677,5.2,real_measurement
08:12:42,0,15097,74.0,424.904,1,424.904,2.9,real_measurement
08:12:47,0,15243,73.0,424.04,1,424.04,11.2,real_measurement
08:12:52,0,15389,74.0,422.286,1,422.286,7.1,real_measurement
08:12:57,0,15535,74.0,419.414,1,419.414,8.8,real_measurement
08:13:02,0,15681,71.0,420.019,1,420.019,9.2,real_measurement
08:13:07,0,15828,71.0,422.226,1,422.226,7.8,real_measurement
08:13:12,0,15974,71.0,420.588,1,420.588,6.9,real_measurement
08:13:17,0,16120,72.0,416.354,1,416.354,6.7,real_measurement
08:13:22,0,16266,73.0,420.08,1,420.08,7.3,real_measurement
08:13:27,0,16412,73.0,420.585,1,420.585,6.9,real_measurement
08:13:32,0,16558,73.0,426.824,1,426.824,5.1,real_measurement
08:13:37,0,16704,73.0,427.09,1,427.09,11.8,real_measurement
08:13:42,0,16850,73.0,424.624,1,424.624,5.5,real_measurement
08:13:47,0,16997,69.0,426.805,1,426.805,4.5,real_measurement
08:13:52,0,17143,72.0,420.15,1,420.15,5.4,real_measurement
08:13:57,0,17289,72.0,422.808,1,422.808,9.9,real_measurement
08:14:02,0,17436,72.0,422.232,1,422.232,7.7,real_measurement
08:14:07,0,17582,71.0,422.292,1,422.292,7.2,real_measurement
